Elselill;14-mar-15
Elton;28-feb-15
Elvina;14-apr-15
Elvir;18-jan-15
Elvira;01-mar-15
Elvis;01-mar-15
Elvy;01-mar-15
Elwin;14 Oct 2015
Elyon;10 May 2015
Ema;23-jul-15
Emanuel;26-mar-15
Embla;14-dec-15
Emelie;16-jul-15
Emelina;13-dec-15
Emida;14 Oct 2015
Emik;02-jan-15
Emil;14-nov-15
Emili;16-jul-15
Emilia;14-nov-15
Emilli;25-aug-15
Emily;16-jul-15
Emina;27 Oct 2015
Emma;23-jul-15
Emma-Louise;09-jul-15
Emmie;23-jul-15
Emmy;23-jul-15
Emrick;03-aug-15
Emy;23-jul-15
Enar;26-sep-15
Engelbrekt;27-apr-15
Engla;14-sep-15
Ensi;25 May 2015
Envidia;01-aug-15
Enya;26-apr-15
Enzo;27-feb-15
Eowyn;07-jul-15
Erhard;5 May 2015
Erik;18 May 2015
Erika;24-jan-15
Erla;31-mar-15
Erland;08-jan-15
Erling;11 Oct 2015
Ermira;03-aug-15
Erna;02-mar-15
Ernst;02-mar-15
Ersan;07-jul-15
Erwin;11-mar-15
Esad;22 May 2015
Esaias;06-jul-15
Esbjörn;10 May 2015
Eskil;12-jun-15
Esmeralda;28-mar-15
Essy;31-mar-15
Estelle;15-aug-15
Ester;31-mar-15
Etta;22-aug-15
Eugen;05-nov-15
Eugenia;05-nov-15
Eva;24-dec-15
Evald;3 Oct 2015
Evangeline;24-dec-15
Evelin;12-feb-15
Evelina;12-feb-15
Eveline;12-feb-15
Evert;24 Oct 2015
Evin;07-jun-15
Evy;12-feb-15
Eyla;19-jan-15
Eyup;16 Oct 2015
Fabian;20-jan-15
Fadi;10-jun-15
Fanny;09-feb-15
Farang;22 May 2015
Farham;23-aug-15
Farhoud;26 Oct 2015
Farshad;17-nov-15
Fatima;28-aug-15
Felicia;14-jan-15
Felicity;14-jan-15
Felix;14-jan-15
Ferdinand;03-apr-15
Feride;03-mar-15
Fernando;03-apr-15
Figge;18-jul-15
Filemon;08-mar-15
Filip;2 May 2015
Filippa;2 May 2015
Findus;7 Oct 2015
Fingal;27-jun-15
Finn;16 Oct 2015
Fins;14-jan-15
Flamur;3 Oct 2015
Flisa;05-dec-15
Flora;12-jul-15
Florence;13-jan-15
Florentina;13-jun-15
Florian;1 Oct 2015
Folke;14-jul-15
Franciska;09-feb-15
Frank;4 Oct 2015
Frans;4 Oct 2015
Freddie;20-aug-15
Freddy;18-jul-15
Fredrik;18-jul-15
Fredrika;19-sep-15
Fredrique;11-nov-15
Freedy;18-jul-15
Frej;23-jan-15
Freja;23-jan-15
Frida;18-feb-15
Frideborg;12-jan-15
Fridolf;12-jan-15
Fritiof;18-feb-15
Fritz;18-jul-15
Gabriel;24-mar-15
Gabriella;19-feb-15
Genevieve;05-dec-15
Georg;23-apr-15
Gerd;23-mar-15
Gerda;23-mar-15
Gerhard;24-sep-15
Germund;19-jun-15
Gert;24-sep-15
